Start,End,Caption,Image
2018-01,2020-01,"<strong>The Baseline Era</strong><br><br>Prior to the pandemic, congressional trading is steady. The STOCK Act exists, but public scrutiny remains relatively low compared to what's coming.",
2020-01,2020-03,"<strong>The COVID-19 Briefings</strong><br><br>Late-January private congressional briefings on a novel coronavirus spark <span style=""color: #d9534f; font-weight: bold;"">massive portfolio shifts</span> before the historic <span style=""background-color: #fcf8e3;"">March stock market crash</span>.",
2020-03,2020-08,"<strong>The CARES Act Era</strong><br><br>Trillions in federal stimulus flood the economy. Trading volumes skyrocket as the market begins its rapid, artificial recovery.",
2020-08,2021-01,"<strong>Election Scrutiny</strong><br><br>Trading scrutiny intensifies ahead of the highly contested November 2020 elections. Many heavy traders temporarily level off.",
2021-01,2022-01,"<strong>The Tech Boom</strong><br><br>As the market rebounds, legislators and their spouses invest heavily in major tech companies, riding a historic bull run.",
2022-01,2022-08,"<strong>The CHIPS Act</strong><br><br>Major congressional debates around semiconductor subsidies lead to highly controversial trades in companies like NVIDIA and Intel.",
2022-08,2023-01,"<strong>Inflation & Rate Hikes</strong><br><br>The Federal Reserve aggressively raises interest rates. Markets cool down, but cumulative trading volumes continue their upward trajectory.",
2023-01,2024-01,"<strong>The AI Surge</strong><br><br>The release of ChatGPT sparks massive interest in Artificial Intelligence. Tech-heavy congressional portfolios see another massive wave of activity.",
2024-01,2025-01,"<strong>Renewed Ban Proposals</strong><br><br>Public pressure mounts as prominent legislators' portfolios massively outperform the S&P 500, leading to renewed bipartisan proposals to ban congressional stock trading.",
2025-01,2026-04,"<strong>The Present Day</strong><br><br>Tracking continues into the present. Cumulative trading volumes for top traders have reached unprecedented levels since tracking began in 2018.",